Branch,Job Role,Course Name,Platform,Course Link
Aerospace Engineering,Graduate Engineer Trainee,Engineering Mechanics,NPTEL,https://nptel.ac.in/courses/112105124
Aerospace Engineering,Graduate Engineer Trainee,Project Management,NPTEL,https://nptel.ac.in/courses/110104073
Aerospace Engineering,Graduate Engineer Trainee,Machine Learning Specialization,Coursera,https://www.coursera.org/specializations/machine-learning-introduction
Aerospace Engineering,Graduate Engineer Trainee,AutoCAD Complete Course,Udemy,https://www.udemy.com/course/autocad-complete-course/
Aerospace Engineering,Graduate Engineer Trainee,Data Science Professional Certificate,edX,https://www.edx.org/professional-certificate/harvardx-data-science
Aerospace Engineering,Graduate Engineer Trainee,Six Sigma Yellow Belt,Coursera,https://www.coursera.org/learn/six-sigma-yellow-belt
Aerospace Engineering,Design Engineer (Entry Level),Engineering Mechanics,NPTEL,https://nptel.ac.in/courses/112105124
Aerospace Engineering,Design Engineer (Entry Level),Project Management,NPTEL,https://nptel.ac.in/courses/110104073
Aerospace Engineering,Design Engineer (Entry Level),Machine Learning Specialization,Coursera,https://www.coursera.org/specializations/machine-learning-introduction
Aerospace Engineering,Design Engineer (Entry Level),AutoCAD Complete Course,Udemy,https://www.udemy.com/course/autocad-complete-course/
Aerospace Engineering,Design Engineer (Entry Level),Data Science Professional Certificate,edX,https://www.edx.org/professional-certificate/harvardx-data-science
Aerospace Engineering,Design Engineer (Entry Level),Six Sigma Yellow Belt,Coursera,https://www.coursera.org/learn/six-sigma-yellow-belt
Aerospace Engineering,Production/Manufacturing Engineer,Engineering Mechanics,NPTEL,https://nptel.ac.in/courses/112105124
Aerospace Engineering,Production/Manufacturing Engineer,Project Management,NPTEL,https://nptel.ac.in/courses/110104073
Aerospace Engineering,Production/Manufacturing Engineer,Machine Learning Specialization,Coursera,https://www.coursera.org/specializations/machine-learning-introduction
Aerospace Engineering,Production/Manufacturing Engineer,AutoCAD Complete Course,Udemy,https://www.udemy.com/course/autocad-complete-course/
Aerospace Engineering,Production/Manufacturing Engineer,Data Science Professional Certificate,edX,https://www.edx.org/professional-certificate/harvardx-data-science
Aerospace Engineering,Production/Manufacturing Engineer,Six Sigma Yellow Belt,Coursera,https://www.coursera.org/learn/six-sigma-yellow-belt
Aerospace Engineering,Quality Assurance Engineer,Engineering Mechanics,NPTEL,https://nptel.ac.in/courses/112105124
Aerospace Engineering,Quality Assurance Engineer,Project Management,NPTEL,https://nptel.ac.in/courses/110104073
Aerospace Engineering,Quality Assurance Engineer,Machine Learning Specialization,Coursera,https://www.coursera.org/specializations/machine-learning-introduction
Aerospace Engineering,Quality Assurance Engineer,AutoCAD Complete Course,Udemy,https://www.udemy.com/course/autocad-complete-course/
Aerospace Engineering,Quality Assurance Engineer,Data Science Professional Certificate,edX,https://www.edx.org/professional-certificate/harvardx-data-science
