Aishe Code,Name,State,Website
C-8977,"100007-ssbt's college of engineering & technology, bambhori.",Maharashtra,https://www.sscoetjalgaon.ac.in
C-8946,"100054-government college of engineering, jalgaon.",Maharashtra,https://www.gcoej.ac.in
C-8836,"100063-gf's godavari college of engineering, jalgaon",Maharashtra,https://www.gfgcoe.ac.in
C-8830,"110059-hindi seva mandal's shri.sant gadge baba college of engineering & technology, bhusawal",Maharashtra,https://www.ssgbcoet.com
C-9012,"150027-tmes's j.t.mahajan college of engineering, faizpur.",Maharashtra,https://www.jtmcoef.ac.in
C-8874,"200004-ssvps's bapusaheb shivajirao deore college of engineering, dhule.",Maharashtra,https://www.ssvpsengg.ac.in
C-8846,"200025-nes's gangamai college of engineering, nagaon, tal.& dist-dhule.",Maharashtra,https://www.gangamaiengg.org.in
C-8912,"230032-psgvpm's d.n.patel college of engineering, shahada, dist-nandurbar.",Maharashtra,https://www.coeshahada.ac.in
C-49529,"250114-shri jaykumar rawal institute of technology, dondaicha, dhule",Maharashtra,https://www.sjrit.ac.in
C-72853,3143-thakur shyamnarayan engineering college,Maharashtra,https://www.tsecmumbai.in
C-18145,"a1 global institute of engineering & technology, markapur- 523316 (cc-7y)",Andhra Pradesh,https://www.a1global.ac.in
C-49143,aaa college of engineering and technology,Tamil Nadu,https://www.aaaenggcoll.ac.in
C-16533,aalim muhammed salegh college of engineering,Tamil Nadu,https://www.aalimec.ac.in
C-59590,aar mahaveer engineering college,Telangana,https://www.aarm.ac.in
C-10224,aarupadai veedu institute of technology,Tamil Nadu,https://www.avit.ac.in
C-46112,"abes engineering college, ghaziabad",Uttar Pradesh,https://www.abes.ac.in
C-46141,"abes institute of technology, ghaziabad",Uttar Pradesh,https://www.abesit.in
C-19604,abhinav hi-tech college of engineering & technology,Telangana,https://www.htec.ac.in
C-18137,"a b r college of engineering and technology,  pin-523230 (cc-hj)",Andhra Pradesh,https://www.abrcet.edu.in
C-46196,"abss institute of technology, mawana road, meerut",Uttar Pradesh,https://www.abss.edu.in
C-50916,"ace college of engineering, thiruvallam",Kerala,https://www.acetvm.com
C-19720,ace engineering college,Telangana,https://www.aceec.ac.in
C-6516,achariya college of engineering technology,Puducherry,https://www.acet.edu.in
C-26933,"acharya college of engineering, badvel",Andhra Pradesh,https://www.acharyaedu.com
C-1319,"acharya institute of technology, bangalore",Karnataka,https://www.acharya.ac.in
C-29705,"acropolis institute of technology and research, manglia chouraha, indore",Madhya Pradesh,https://www.aitr.ac.in
C-36237,"acropolis institute of technology & research, village raukhedi, khasra no. 144/3, indore bypass road, indore-453771",Madhya Pradesh,http://www.aitr.ac.in
C-1440,"acs college of engineering, bangalore",Karnataka,https://www.acsce.edu.in
C-30058,"adarsha college of engineering, (ace), angul",Odisha,https://www.adarshaengg.com
C-18150,"adarsh college of engineering, nh-214, chebrolu,pin-533449  (cc-hn)",Andhra Pradesh,https://www.adarsh.ac.in
C-34488,"adarsh shikshan prasarak mandal's k.t. patil college of engineering and technology, osmanabad.",Maharashtra,https://www.ktpcoeo.com
