Name,City,State,Rank
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1
Indian Institute of Technology Delhi,New Delhi,Delhi,2
Indian Institute of Technology Bombay,Mumbai,Maharashtra,3
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,7
Indian Institute of Technology Guwahati,Guwahati,Assam,8
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,10
Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,11
Indian Institute of Technology Indore,Indore,Madhya Pradesh,12
National Institute of Technology Rourkela,Rourkela,Odisha,13
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,14
Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,15
Vellore Institute of Technology,Vellore,Tamil Nadu,16
National Institute of Technology Karnataka,Surathkal,Karnataka,17
Jadavpur University,Kolkata,West Bengal,18
Indian Institute of Technology Patna,Patna,Bihar,19
Anna University,Chennai,Tamil Nadu,20
National Institute of Technology Calicut,Kozhikode,Kerala,21
Siksha `O` Anusandhan,Bhubaneswar,Odisha,22
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,23
Jamia Millia Islamia-New Delhi,New Delhi,Delhi,24
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,25
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,26
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,27
National Institute of TechnologyWarangal,Warangal,Telangana,28
Thapar Institute of Engineering and Technology (Deemed-to-be-University),Patiala,Punjab,29
Delhi Technological University,New Delhi,Delhi,30
Chandigarh University,Mohali,Punjab,31
Indian Institute of Technology Ropar,Rupnagar,Punjab,32
Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,33
Aligarh Muslim University,Aligarh,Uttar Pradesh,34
"Koneru Lakshmaiah Education Foundation University(K L College of Engineering)",Vaddeswaram,Andhra Pradesh,35
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,36
Amity University,Gautam Budh Nagar,Uttar Pradesh,37
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,38
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,39
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,40
Institute of Chemical Technology,Mumbai,Maharashtra,41
Malaviya National Institute of Technology Jaipur,Jaipur,Rajasthan,42
UPES,Dehradun,Uttarakhand,43
"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,44
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,45
Symbiosis International,Pune,Maharashtra,46
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,47
Lovely Professional University,Phagwara,Punjab,48
National Institute of Technology Durgapur,Durgapur,West Bengal,49
National Institute of Technology Silchar,Silchar,Assam,50
Birla Institute of Technology,Ranchi,Jharkhand,51
Graphic Era University,Dehradun,Uttarakhand,52
National Institute of Technology Patna,Patna,Bihar,53
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,54
Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,55
Indian Institute of Technology Jammu,Jammu,Jammu and Kashmi,56
"Indian Institute of Technology, Tirupati",TIRUPATI,Andhra Pradesh,57
Manipal University Jaipur,Jaipur,Rajasthan,58
Manipal Institute of Technology,Manipal,Karnataka,59
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,60
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,61
Motilal Nehru National Institute of Technology Allahabad,Prayagraj,Uttar Pradesh,62
IIIT-Delhi (Indraprastha Institute of Information Technology Delhi),New Delhi,Delhi,63
Indian Institute of Technology Palakkad,Palakkad,Kerala,64
National Institute of Technology Delhi,Delhi,Delhi,65
Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,66
PSG College of Technology,Coimbatore,Tamil Nadu,67
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,67
