Name,City,State,Ranking
Indian Institute of Science Bengaluru,Bengaluru,Karnataka,1
Jawaharlal Nehru University,New Delhi,Delhi,2
Manipal Academy of Higher Education,Manipal,Karnataka,3
Jamia Milla Islamia,New Delhi,Delhi,4
University of Delhi,Delhi,Delhi,5
Banaras Hindu University,Varanasi,Uttar Pradesh,6
Birla Institute of Technology & Science,Pilani,Rajasthan,7
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,8
Jadavpur University,Kolkata,West Bengal,9
Aligarh Muslim University,Aligarh,Uttar Pradesh,10
S. R. M. Institute of Science and Technology,Chennai,Tamil Nadu,11
Homi Bhabha National Institute,Mumbai,Maharashtra,12
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,13
Vellore Institute of Technology,Vellore,Tamil Nadu,14
Siksha `O` Anusandhan,Bhubaneswar,Odisha,15
Indian Agricultural Research Institute,New Delhi,Delhi,16
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,17
University of Hyderabad,Hyderabad,Telangana,18
Chandigarh University,Mohali,Punjab,19
Anna University,Chennai,Tamil Nadu,20
JSS Academy of Higher Education and Research,Mysuru,Karnataka,21
Amity University,Gautam Budh Nagar,Uttar Pradesh,22
Andhra University,Visakhapatnam,Andhra Pradesh,23
Symbiosis International,Pune,Maharashtra,24
Kerala University,Thiruvananthapuram,Kerala,25
"Thapar Institute of Engineering and Technology(Deemed-to-be-university)",Patiala,Punjab,26
"Koneru Lakshmaiah Education Foundation University(K L College of Engineering)",Vaddeswaram,Andhra Pradesh,26
Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,28
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,29
Osmania University,Hyderabad,Telangana,30
Lovely Professional University,Phagwara,Punjab,31
Cochin University of Science and Technology,Cochin,Kerala,32
Gauhati University,Guwahati,Assam,33
University of Kashmir,Srinagar,Jammu and Kashmir,34
Panjab University,Chandigarh,Chandigarh,35
Bharathidasan University,Tiruchirappalli,Tamil Nadu,36
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,37
University of Madras,Chennai,Tamil Nadu,38
Calcutta University,Kolkata,West Bengal,39
Institute of Chemical Technology,Mumbai,Maharashtra,40
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,41
Delhi Technological University,New Delhi,Delhi,42
Mahatma Gandhi University,Kottayam,Kerala,43
