AICTE-Recognized BE/B.Tech Branches ,Important Technical Domains
,
Aerospace Engineering,"Aerodynamics, Propulsion, Aircraft Structures, Avionics, Flight Mechanics, CFD"
Aeronautical Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Agricultural Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Artificial Intelligence,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Artificial Intelligence and Data Science,"Machine Learning, Deep Learning, Big Data, Data Analytics, Visualization"
Artificial Intelligence and Machine Learning,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Automobile Engineering,"IC Engines, Electric Vehicles, Vehicle Dynamics, Automotive Design, Hybrid Systems"
Automation and Robotics,"Mechatronics, Industrial Robotics, PLC, Automation Systems, AI in Robotics"
Automation Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Aviation Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Biomedical Engineering,"Medical Devices, Biomedical Signal Processing, Imaging Systems"
Biotechnology Engineering,"Genetic Engineering, Bioinformatics, Bioprocess Engineering, Molecular Biology"
Biosciences & Bioengineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
,
Ceramic Engineering,"Core Engineering Fundamentals, Domain-Specific Software Tools, Industry Applications"
Chemical Engineering,"Process Engineering, Thermodynamics, Reaction Engineering, Mass Transfer, Process Control"
Civil Engineering,"Structural Engineering, Geotechnical, Environmental Engineering, Construction Management, Water Resources"
Computer Engineering,"Programming, Algorithms, Software Engineering, AI/ML, Cloud Computing"
Computer Science and Business Systems,"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Design,"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering,"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (Artificial Intelligence),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
Computer Science and Engineering (Artificial Intelligence and Machine Learning),"Programming, Data Structures, AI/ML, Data Science, Cloud Computing, Cyber Security, Web Development"
