ALL UNIVERSITIES,,,,,,
(As on Date:  12-2-2026  15:20:32),,,,,,
Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1159,AAFT UNIVERSITY,Chhattisgarh,Raipur,http://aaft.edu.in,2018,Rural
U-0761,ABHILASHI UNIVERSITY,Himachal Pradesh,Mandi,www.abhilashiuniversity.ac.in,2014,Rural
U-1266,ABHYUDAY UNIVERSITY,Madhya Pradesh,Khargone (West Nimar),https://abhyudayuniversity.edu.in/,-,Rural
U-0434,"Academy of Maritime Education and Training, Chennai",Tamil Nadu,Chengalpattu,www.ametuniv.ac.in,1993,Rural
U-0713,ACADEMY OF SCIENTIFIC AND INNOVATIVE RESEARCH,Uttar Pradesh,Ghaziabad,http://acsir.res.in,2011,Urban
U-0003,"Acharya Nagarjuna University, Guntur",Andhra Pradesh,Guntur,www.anu.ac.in,1976,Rural
U-0531,"Acharya Narendra Deva University of Agriculture & Technology, Ayodhya",Uttar Pradesh,Ayodhya,www.nduat.org,1975,Rural
U-0004,"Acharya NG Ranga Agricultural University, Guntur",Andhra Pradesh,Guntur,www.angrau.ac.in,1964,Rural
U-0857,ADAMAS UNIVERSITY,West Bengal,Kolkata,www.adamasuniversity.ac.in,2014,Rural
U-1206,ADANI UNIVERSITY,Gujarat,Ahmedabad,https://www.adaniuni.ac.in/,-,Urban
U-0736,ADESH UNIVERSITY,Punjab,Bathinda,www.adeshuniversity.ac.in ,2012,Rural
U-0971,ADICHUNCHANAGIRI UNIVERSITY,Karnataka,Mandya,www.acu.edu.in,2018,Rural
U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",Andhra Pradesh,East Godavari,www.aknu.edu.in,2006,Urban
U-1388,Aditya University,Andhra Pradesh,Kakinada,www.adityauniversity.in,-,Urban
U-1271,AGRAWAN HERITAGE UNIVERSITY,Uttar Pradesh,Agra,www.ahu.ac.in,-,Rural
U-0703,"AGRICULTURE UNIVERSITY, JODHPUR",Rajasthan,Jodhpur,www.aujodhpur.ac.in,2013,Urban
U-0704,"AGRICULTURE UNIVERSITY, KOTA",Rajasthan,Kota,www.aukota.org,2013,Urban
